type,0,1,2,3,4,5,6,7,8,9,mean score,score std
ReLu,0.955,0.993,0.997,0.995,0.996,0.766,0.994,0.993,0.992,0.997,0.968,0.068
Tanh,0.997,0.997,0.989,0.999,0.982,0.998,0.987,0.985,0.996,0.999,0.993,0.006
Sigmoid,0.992,0.993,0.993,0.993,0.992,0.993,0.969,0.994,0.983,0.982,0.988,0.008
MLPRegressor,0.969,0.969,0.966,0.969,0.969,0.97,0.968,0.964,0.97,0.963,0.968,0.002
